timestamp,volume,ticks,status,open,low,high,cost,close
2024-05-29 22:48:00,1.55565552,1717022880000,ok,67610.5,67600.0,67610.5,105170.0,67610.5
2024-05-29 22:49:00,0.62193127,1717022940000,ok,67610.5,67590.0,67610.5,42040.0,67590.0
2024-05-29 22:50:00,0.00355082,1717023000000,ok,67590.0,67590.0,67590.0,240.0,67590.0
2024-05-29 22:51:00,1.75788478,1717023060000,ok,67590.0,67586.0,67590.0,118810.0,67586.0
2024-05-29 22:52:00,4.56113483,1717023120000,ok,67580.5,67580.5,67589.5,308280.0,67587.5
2024-05-29 22:53:00,0.22251717,1717023180000,ok,67590.0,67590.0,67604.0,15040.0,67603.5
2024-05-29 22:54:00,0.21907195,1717023240000,ok,67603.5,67594.5,67603.5,14810.0,67594.5
2024-05-29 22:55:00,0.00147941,1717023300000,ok,67594.5,67594.5,67594.5,100.0,67594.5
2024-05-29 22:56:00,0.37866029,1717023360000,ok,67595.0,67595.0,67626.5,25600.0,67626.5
2024-05-29 22:57:00,0.35075382,1717023420000,ok,67627.0,67621.0,67627.0,23720.0,67621.0
2024-05-29 22:58:00,0.46576422,1717023480000,ok,67629.0,67629.0,67636.5,31500.0,67636.5
2024-05-29 22:59:00,0.18821806,1717023540000,ok,67636.0,67625.5,67636.0,12730.0,67625.5
2024-05-29 23:00:00,0.12259535,1717023600000,ok,67613.5,67613.5,67621.5,8290.0,67621.5
2024-05-29 23:01:00,0.06846205,1717023660000,ok,67621.5,67621.5,67637.0,4630.0,67637.0
2024-05-29 23:02:00,1.29437066,1717023720000,ok,67637.0,67625.0,67648.0,87550.0,67625.0
2024-05-29 23:03:00,0.00014786,1717023780000,ok,67634.0,67634.0,67634.0,10.0,67634.0
2024-05-29 23:04:00,3.45791917,1717023840000,ok,67634.0,67634.0,67647.0,233880.0,67646.5
2024-05-29 23:05:00,0.09698313,1717023900000,ok,67640.5,67640.5,67650.0,6560.0,67650.0
2024-05-29 23:06:00,0.22261815,1717023960000,ok,67650.0,67640.5,67650.0,15060.0,67640.5
2024-05-29 23:07:00,0.00059136,1717024020000,ok,67640.5,67640.5,67640.5,40.0,67640.5
