,volume,ticks,status,open,low,high,cost,close,timestamp,instrument_name,resolution
0,198.57819254,1699322400000,ok,34962.0,34827.5,34989.5,6928390.0,34839.0,2023-11-07 02:00:00,BTC-PERPETUAL,60
1,94.36031377,1699326000000,ok,34838.5,34823.5,34939.0,3292350.0,34938.5,2023-11-07 03:00:00,BTC-PERPETUAL,60
2,162.35081656,1699329600000,ok,34938.5,34851.5,34954.5,5666560.0,34924.5,2023-11-07 04:00:00,BTC-PERPETUAL,60
3,98.10619201,1699333200000,ok,34924.0,34861.0,34930.0,3424250.0,34930.0,2023-11-07 05:00:00,BTC-PERPETUAL,60
4,237.27760029,1699336800000,ok,34930.0,34899.0,34994.0,8292480.0,34994.0,2023-11-07 06:00:00,BTC-PERPETUAL,60
5,169.34346454,1699340400000,ok,34993.5,34887.0,34993.5,5914700.0,34959.0,2023-11-07 07:00:00,BTC-PERPETUAL,60
6,277.96349255,1699344000000,ok,34959.0,34896.5,35000.0,9711410.0,34936.0,2023-11-07 08:00:00,BTC-PERPETUAL,60
7,357.0584211,1699347600000,ok,34933.0,34703.0,34936.0,12436860.0,34817.0,2023-11-07 09:00:00,BTC-PERPETUAL,60
8,853.52380322,1699351200000,ok,34817.0,34584.0,34817.0,29605920.0,34661.5,2023-11-07 10:00:00,BTC-PERPETUAL,60
9,518.88840611,1699354800000,ok,34663.0,34636.5,34749.5,17999200.0,34643.0,2023-11-07 11:00:00,BTC-PERPETUAL,60
10,444.53748129,1699358400000,ok,34643.0,34540.0,34777.5,15420050.0,34758.0,2023-11-07 12:00:00,BTC-PERPETUAL,60
11,420.99304245,1699362000000,ok,34760.5,34664.0,34793.0,14620290.0,34793.0,2023-11-07 13:00:00,BTC-PERPETUAL,60
12,390.94521607,1699365600000,ok,34797.0,34750.0,34876.0,13611650.0,34856.0,2023-11-07 14:00:00,BTC-PERPETUAL,60
13,503.67190282,1699369200000,ok,34856.5,34660.0,34869.0,17498340.0,34746.5,2023-11-07 15:00:00,BTC-PERPETUAL,60
14,473.73919262,1699372800000,ok,34746.5,34659.0,34761.5,16452060.0,34700.0,2023-11-07 16:00:00,BTC-PERPETUAL,60
15,705.48880851,1699376400000,ok,34696.0,34583.0,34873.5,24513800.0,34867.5,2023-11-07 17:00:00,BTC-PERPETUAL,60
16,2414.8552938,1699380000000,ok,34867.5,34865.0,35564.5,85171500.0,35414.5,2023-11-07 18:00:00,BTC-PERPETUAL,60
17,623.51939742,1699383600000,ok,35414.5,35365.0,35595.5,22117040.0,35486.0,2023-11-07 19:00:00,BTC-PERPETUAL,60
18,1676.35066398,1699387200000,ok,35488.5,35365.5,35928.5,59854370.0,35668.0,2023-11-07 20:00:00,BTC-PERPETUAL,60
19,726.49289649,1699390800000,ok,35658.5,35490.0,35736.5,25873810.0,35509.0,2023-11-07 21:00:00,BTC-PERPETUAL,60
20,1059.06989187,1699394400000,ok,35510.5,35232.0,35519.5,37480450.0,35322.5,2023-11-07 22:00:00,BTC-PERPETUAL,60
21,565.00449914,1699398000000,ok,35320.5,35271.0,35459.5,20008270.0,35430.5,2023-11-07 23:00:00,BTC-PERPETUAL,60
22,248.78473771,1699401600000,ok,35433.0,35279.0,35439.5,8797600.0,35388.0,2023-11-08 00:00:00,BTC-PERPETUAL,60
23,276.18327635,1699405200000,ok,35388.0,35361.0,35445.5,9777770.0,35404.0,2023-11-08 01:00:00,BTC-PERPETUAL,60
24,97.55420399,1699408800000,ok,35404.0,35311.0,35410.0,3449910.0,35331.5,2023-11-08 02:00:00,BTC-PERPETUAL,60
25,115.693916,1699412400000,ok,35333.0,35259.5,35347.0,4083690.0,35293.0,2023-11-08 03:00:00,BTC-PERPETUAL,60
26,255.32422134,1699416000000,ok,35292.5,35279.0,35378.5,9023640.0,35376.5,2023-11-08 04:00:00,BTC-PERPETUAL,60
27,329.10545246,1699419600000,ok,35373.5,35258.5,35382.0,11615560.0,35282.0,2023-11-08 05:00:00,BTC-PERPETUAL,60
28,320.95022633,1699423200000,ok,35282.0,35184.0,35327.0,11321710.0,35292.0,2023-11-08 06:00:00,BTC-PERPETUAL,60
29,302.25644415,1699426800000,ok,35292.0,35228.0,35331.0,10660780.0,35240.0,2023-11-08 07:00:00,BTC-PERPETUAL,60
30,587.8881699,1699430400000,ok,35240.0,35205.0,35350.5,20745620.0,35315.5,2023-11-08 08:00:00,BTC-PERPETUAL,60
31,292.8579418,1699434000000,ok,35315.5,35295.0,35349.5,10344770.0,35307.0,2023-11-08 09:00:00,BTC-PERPETUAL,60
32,301.82502556,1699437600000,ok,35307.0,35305.5,35434.5,10680040.0,35422.0,2023-11-08 10:00:00,BTC-PERPETUAL,60
33,224.92938611,1699441200000,ok,35422.0,35336.0,35459.5,7963250.0,35351.0,2023-11-08 11:00:00,BTC-PERPETUAL,60
34,150.29442096,1699444800000,ok,35351.0,35340.5,35417.0,5316830.0,35415.5,2023-11-08 12:00:00,BTC-PERPETUAL,60
35,727.59860945,1699448400000,ok,35415.0,35251.0,35488.0,25745380.0,35428.5,2023-11-08 13:00:00,BTC-PERPETUAL,60
36,426.66738488,1699452000000,ok,35428.5,35280.0,35450.5,15087260.0,35326.5,2023-11-08 14:00:00,BTC-PERPETUAL,60
37,597.14402876,1699455600000,ok,35327.5,35114.5,35350.5,21027880.0,35238.0,2023-11-08 15:00:00,BTC-PERPETUAL,60
38,457.27688041,1699459200000,ok,35238.0,35194.5,35502.5,16170650.0,35415.0,2023-11-08 16:00:00,BTC-PERPETUAL,60
39,229.46282386,1699462800000,ok,35419.0,35210.0,35447.5,8099500.0,35327.5,2023-11-08 17:00:00,BTC-PERPETUAL,60
40,764.37480276,1699466400000,ok,35327.0,35301.0,35653.5,27138830.0,35621.5,2023-11-08 18:00:00,BTC-PERPETUAL,60
41,683.70333695,1699470000000,ok,35621.5,35566.0,35800.0,24396180.0,35647.5,2023-11-08 19:00:00,BTC-PERPETUAL,60
42,620.91762382,1699473600000,ok,35648.0,35481.0,35787.5,22138700.0,35637.5,2023-11-08 20:00:00,BTC-PERPETUAL,60
43,1811.27603212,1699477200000,ok,35638.0,35408.0,35977.0,64642430.0,35608.5,2023-11-08 21:00:00,BTC-PERPETUAL,60
44,1384.93827442,1699480800000,ok,35606.0,35593.0,35987.0,49588230.0,35798.0,2023-11-08 22:00:00,BTC-PERPETUAL,60
45,1208.39176624,1699484400000,ok,35815.5,35625.0,36150.0,43372240.0,35635.5,2023-11-08 23:00:00,BTC-PERPETUAL,60
46,337.98170825,1699488000000,ok,35644.0,35569.0,35908.5,12081800.0,35877.5,2023-11-09 00:00:00,BTC-PERPETUAL,60
47,545.04722133,1699491600000,ok,35886.0,35797.0,36117.5,19611890.0,35938.5,2023-11-09 01:00:00,BTC-PERPETUAL,60
48,2726.61565631,1699495200000,ok,35938.5,35874.5,36673.5,99147000.0,36394.0,2023-11-09 02:00:00,BTC-PERPETUAL,60
49,889.52294632,1699498800000,ok,36394.5,36286.5,36559.5,32394100.0,36481.0,2023-11-09 03:00:00,BTC-PERPETUAL,60
50,1160.3538515,1699502400000,ok,36481.0,36452.0,36902.0,42590130.0,36746.5,2023-11-09 04:00:00,BTC-PERPETUAL,60
51,673.4949819,1699506000000,ok,36741.5,36545.5,36787.5,24669720.0,36608.0,2023-11-09 05:00:00,BTC-PERPETUAL,60
52,445.07669075,1699509600000,ok,36608.0,36604.5,36836.5,16354000.0,36804.0,2023-11-09 06:00:00,BTC-PERPETUAL,60
53,860.64639792,1699513200000,ok,36804.5,36550.0,36832.5,31556320.0,36565.5,2023-11-09 07:00:00,BTC-PERPETUAL,60
54,484.3171624,1699516800000,ok,36565.5,36565.5,36744.0,17752140.0,36708.0,2023-11-09 08:00:00,BTC-PERPETUAL,60
55,435.73474683,1699520400000,ok,36701.5,36615.0,36880.0,16015630.0,36873.5,2023-11-09 09:00:00,BTC-PERPETUAL,60
56,874.14003392,1699524000000,ok,36873.0,36751.5,37036.5,32239310.0,36797.0,2023-11-09 10:00:00,BTC-PERPETUAL,60
57,874.78871458,1699527600000,ok,36792.5,36682.5,36838.0,32136020.0,36835.5,2023-11-09 11:00:00,BTC-PERPETUAL,60
58,875.69931157,1699531200000,ok,36835.5,36792.5,37072.5,32347530.0,36918.0,2023-11-09 12:00:00,BTC-PERPETUAL,60
59,1851.87778275,1699534800000,ok,36920.5,36862.0,37222.5,68497090.0,37218.5,2023-11-09 13:00:00,BTC-PERPETUAL,60
60,5158.29025435,1699538400000,ok,37218.0,37213.0,38100.0,194343520.0,37917.0,2023-11-09 14:00:00,BTC-PERPETUAL,60
61,5428.8084136,1699542000000,ok,37922.5,37109.0,38029.0,204320520.0,37135.5,2023-11-09 15:00:00,BTC-PERPETUAL,60
62,6496.64099387,1699545600000,ok,37134.0,35586.5,37256.5,236327930.0,36359.5,2023-11-09 16:00:00,BTC-PERPETUAL,60
